N-Count,K-Count,Av. Time Algo. A,Av. Time Algo. B
1000,2,0.00017486666911281645,0.00041599999531172216
1000,4,0.0002646999976908167,0.0006215333414729685
1000,6,0.0007821999994727472,0.0006753000003906587
1000,8,0.0005461000158296277,0.0005703333396619806
1000,10,0.00130333334285145,0.0006714333333851149
1000,12,0.0016017000016290694,0.0006782999941303084
1000,14,0.0018299666602009286,0.0007019999902695417
1000,16,0.002075600001262501,0.0007815999949040512
1000,18,0.0007551666737223665,0.00031260000347780686
1000,20,0.0019228333258070052,0.000731999995574976
1000,22,0.0018244333235391725,0.0003969999961555004
1000,24,0.002340966670696313,0.0011047666678981234
1000,26,0.0020973666687496006,0.0004902999983945241
1000,28,0.0021664000038678446,0.000521766662131995
1000,30,0.0020207333436701447,0.0005460333389540514
1000,32,0.0020047333382535726,0.0012317666745123763
1000,34,0.0056865999940782785,0.0007120999895657102
1000,36,0.0023862666663868972,0.0005580666669023534
1000,38,0.0028611666542322687,0.0010862333389619987
1000,40,0.004774966655531898,0.0005729666542417059
1000,42,0.005608633325512831,0.001336933336763953
1000,44,0.007635466676826279,0.0005930999953610202
1000,46,0.0028918000170961022,0.0005804666628440222
1000,48,0.008062033331952989,0.0013952666874198865
1000,50,0.00832069999887608,0.0006215333317716917
1000,52,0.003329100009674827,0.0006183666700962931
1000,54,0.003896400002607455,0.0006416333296025792
1000,56,0.004049666662467644,0.000830000004498288
1000,58,0.004729200009023771,0.0007110333244781941
1000,60,0.0038036666713499776,0.000656633327404658
1000,62,0.004018466667427371,0.0006688999904630085
1000,64,0.004055666669349496,0.0006738999994316449
1000,66,0.0041861666735106455,0.0006891999995180716
1000,68,0.005779133333514134,0.0016179666757428397
1000,70,0.005451333340412627,0.0007131000068814805
1000,72,0.007726033334620297,0.0007357666715203474
1000,74,0.006825966663503398,0.0016880000087743003
1000,76,0.014548999994682768,0.001716033322736621
1000,78,0.008861433326577147,0.0007626000054491063
1000,80,0.008690466677459577,0.0007690666631485025
1000,82,0.007573366659926251,0.0017761000102230657
1000,84,0.005725233330546568,0.0007997333401969323
1000,86,0.005458666671377917,0.0018319333321414888
1000,88,0.006362766667734832,0.0008001333335414529
1000,90,0.008602433323782558,0.0008143333252519369
1000,92,0.009037033344308535,0.0008217666569786767
1000,94,0.013389333335605139,0.0008498333336319774
1000,96,0.01077736665805181,0.001190800016047433
1000,98,0.004029166671292235,0.0005066999971556166
1000,100,0.004533133333704124,0.001143066668494915
1000,102,0.008968500012997538,0.0005094333318993449
1000,104,0.004157066675058256,0.0005135666579008102
1000,106,0.00879736666684039,0.0007828333182260394
1000,108,0.008510566656089699,0.0006336000030084202
1000,110,0.005091799995473896,0.0007559000029383848
1000,112,0.00721289999394988,0.0009557666683879992
1000,114,0.007210933341411874,0.0017657333228271455
1000,116,0.007867633345692107,0.0009309666638728231
1000,118,0.009506066659620652,0.0007340000011026859
1000,120,0.0049174000062824534,0.0005575666630951067
1000,122,0.011152533338948464,0.0011039333379206557
1000,124,0.01424060000378328,0.0009741333390896519
1000,126,0.015965299991269905,0.0009846666653174907
1000,128,0.009992299999188011,0.0009850333347761382
1000,130,0.010967899996709699,0.0009992666794763256
1000,132,0.011433800003336122,0.0010137666734711577
1000,134,0.02138103333224232,0.0021744666640491537
1000,136,0.014506700002433112,0.0016370666659592341
1000,138,0.01346079998378021,0.0012363000132609159
1000,140,0.013487200000478575,0.001979399996344
1000,142,0.017623033326041575,0.001162966664802904
1000,144,0.012737099993197868,0.0014773000051112224
1000,146,0.013053799998791268,0.0023253666683255383
1000,148,0.015045233332784846,0.0021589000049668052
1000,150,0.011931533343158662,0.0019967333355452865
1000,152,0.01297273333572472,0.0012544333294499665
1000,154,0.015359633330566188,0.001229533333874618
1000,156,0.013246766669908538,0.0017002000046583514
1000,158,0.01623496666434221,0.0012757333267169695
1000,160,0.015950066668059055,0.0018633666719930868
1000,162,0.015131900009388724,0.000681900002139931
1000,164,0.00958936665362368,0.0015494999922035884
1000,166,0.013668566670579215,0.0010019666612303506
1000,168,0.0070248333310397966,0.001136400018973897
1000,170,0.010200233324818933,0.000701333328227823
1000,172,0.009401466658649346,0.0010499333341916401
1000,174,0.01554049999685958,0.0018617000023368746
1000,176,0.014326200005598366,0.0012971999919197212
1000,178,0.014309666672488675,0.001558766671223566
1000,180,0.014688166663593924,0.002291133345958466
1000,182,0.01940889999968931,0.0018756333253501605
1000,184,0.01967036666853043,0.002125999996981894
1000,186,0.02145189999525125,0.0016886666514134656
1000,188,0.01908633334096521,0.0016191333415918052
1000,190,0.011301866654927531,0.0008923000035186609
1000,192,0.00842590001411736,0.000742333329981193
1000,194,0.007910166663350537,0.0008857333353565385
1000,196,0.00909950000156338,0.0009588666628890982
1000,198,0.008917833329178393,0.0010050333415468533
2000,2,0.00013663334539160132,0.0003974666566743205
2000,4,0.0003089666715823114,0.0007507333357352763
2000,6,0.0004773666732944548,0.0004087999986950308
2000,8,0.0008183333266060799,0.0004280666762497276
2000,10,0.0007796333229634911,0.0004936333377069483
2000,12,0.000859166660423701,0.000409066667392229
2000,14,0.00124849999944369,0.0007921666644203166
2000,16,0.003122366664077466,0.0013027333285814773
2000,18,0.001937799999723211,0.0006424999834659199
2000,20,0.002011266682529822,0.001075866661267355
2000,22,0.0018085333382866036,0.0008128666668199003
2000,24,0.0019318666600156575,0.001002499998624747
2000,26,0.0031295333368082843,0.0006051666665977488
2000,28,0.002112033350082735,0.0004989333392586559
2000,30,0.004694033326813951,0.0005820666750272115
2000,32,0.006112800008850172,0.0008530333482970794
2000,34,0.004034633331078415,0.0006111000063053021
2000,36,0.003048833333499109,0.0007309666640746096
2000,38,0.004128200002014637,0.0005934666648196677
2000,40,0.004833233329312255,0.0012817666671859722
2000,42,0.004178600007435307,0.000746799991854156
2000,44,0.004139599991807093,0.000512033332294474
2000,46,0.0037253666863155863,0.0012316333304625005
2000,48,0.004661133328530316,0.0006272999938422193
2000,50,0.005696766670250024,0.000812566674236829
2000,52,0.007792533317115158,0.000642533355858177
2000,54,0.008193199998155857,0.0006571333312119046
2000,56,0.005191266672530522,0.0006571666550977776
2000,58,0.004685299994889647,0.0005747333343606442
2000,60,0.006071366651061301,0.000809666671557352
2000,62,0.005240166676230729,0.0005901666590943933
2000,64,0.005176133330678567,0.0006762999983038753
2000,66,0.012884500009628633,0.0009828333374268066
2000,68,0.011108133340409646,0.0007647666595100114
2000,70,0.0069986333352668835,0.001343166659353301
2000,72,0.006798966651937614,0.0007094666749859849
2000,74,0.01113940000262422,0.0007123666679641852
2000,76,0.010598733342097452,0.0008531666729444017
2000,78,0.008615099999587983,0.0008442333297959218
2000,80,0.008698233335356539,0.00195073332482328
2000,82,0.010309033328667283,0.0009079333394765854
2000,84,0.011777299989868576,0.001039466665436824
2000,86,0.010175733322588107,0.0010440666616583865
2000,88,0.013719500003693005,0.0011710999921585123
2000,90,0.014253333337061727,0.0011421666616418709
2000,92,0.011690333349785456,0.0020201333391014487
2000,94,0.023389833329323057,0.0011648333456832916
2000,96,0.014209433342330158,0.0012208000116515905
2000,98,0.012709366662117342,0.00185099999847201
2000,100,0.013099100004183128,0.0012505666624444227
2000,102,0.008721766653858746,0.0006230666573780278
2000,104,0.008757866666807482,0.0006048666643134007
2000,106,0.006977633340284228,0.0006094000030619403
2000,108,0.010819799994351342,0.0007853999947352955
2000,110,0.01964426666381769,0.0018481000054938097
2000,112,0.012719433337527638,0.0018626333233745147
2000,114,0.012523966666776687,0.001101766664457197
